insider_name,n_event_days,median_reaction,median_drift_5d,median_drift_20d,total_abs_value
Dimon James,7,0.005025400120172607,0.01878587580448765,0.05011440034777859,496258581.0
Erdoes Mary E.,25,0.0028075804672615945,-0.008026689568606749,0.03711588674243793,69447296.0
Rohrbaugh Troy L,5,0.008894659957799034,0.001551619739630583,-0.010636265360370378,48643623.0
Lake Marianne,22,0.002683555862680098,0.006479860751011368,0.02040481848725717,45497756.0
Pinto Daniel E,7,0.001587861679604785,0.03394213673832236,0.05145413870246096,42553330.0
Petno Douglas B,24,0.003149775612001471,0.015407686718372449,0.052939884308413454,38793063.0
Smith Gordon,9,0.0017449106771916245,-0.001407129455910039,0.027517198248905528,36332400.0
Bacon Ashley,23,0.0038765359859567194,0.0012278547623223446,0.027517198248905528,32816959.0
Friedman Stacey,22,0.0008707096264617409,-0.005530386683315958,0.019951113166413403,24844742.0
Piepszak Jennifer,17,0.0005616850551655173,0.0021123785382339832,0.04823264328967736,17274771.0
Beer Lori A,14,0.003300192604523078,-0.006741985285324603,-0.0004788813332056163,15944874.0
Scher Peter,14,0.0023467591368255825,0.01607638097857056,0.025472997735637937,14121331.0
Hobson Mellody L,11,-0.0010922992900055384,0.00890181561783887,0.03677277716794736,12482119.0
Zames Matthew E,7,-0.006229559258682293,0.015018773466833668,0.035104215640181735,10269059.0
Crown James S,5,-0.011130136986301387,0.0012278547623223446,0.01477745332271474,3174299.0
Leopold Robin,7,0.008529327519811503,-0.01585065163790056,-0.0314025740271493,2128048.0
Giles Nicole,7,0.0014274733721313382,0.008004385964912375,0.019865795514744766,2064056.0
